code_insee,commune,code_region,region,departement,log_rp,log_proprio,log_loc,log_hlm,log_sec,log_maison,log_appart,age_0_14,age_15_29,age_75p,femmes,chom,agric,indep,cadres,interm,empl,ouvr,etud,dipl_aucun,dipl_bepc,dipl_capbep,dipl_bac,dipl_bac2,dipl_sup,resid_sec,proprio,locataire,hlm,maison,appart
12013,Aubin,73,Midi-Pyrénées,Aveyron,1854,1404,409,81,159,1526,328,14.198628397256794,11.531623063246126,16.94183388366777,51.30810261620523,12.585969738651995,0.2751031636863824,8.184319119669876,6.602475928473177,23.24621733149931,32.599724896836314,34.52544704264099,51.75438596491229,17.053770283168948,8.208717785555201,33.12122176264715,15.208399618199172,7.508749602290806,4.295259306395164,7.898658718330849,75.72815533980582,22.060409924487594,4.368932038834951,82.30852211434735,17.691477885652642
12033,Bozouls,73,Midi-Pyrénées,Aveyron,1163,824,302,74,149,913,239,19.00072939460248,14.077315827862874,11.962071480671042,51.458789204959885,5,6.666666666666667,8.409090909090908,3.3333333333333335,23.257575757575758,30.454545454545457,23.257575757575758,40.74074074074074,12.518124697921701,5.41324311261479,26.53455775737071,16.723054615756404,14.354760753987433,11.309811503141615,11.356707317073171,70.8512467755804,25.967325881341356,6.362854686156492,78.50386930352536,20.55030094582975
12052,Capdenac-Gare,73,Midi-Pyrénées,Aveyron,2139,1367,721,139,151,1549,586,13.902548055431382,14.081358962896736,17.478766204738488,52.190433616450605,12.129380053908356,1.3477088948787064,7.654986522911051,9.54177897574124,16.118598382749326,33.04582210242587,30.40431266846361,30,16.426193118756938,6.8812430632630415,27.44173140954495,18.39622641509434,9.378468368479467,5.993340732519423,6.593886462882097,63.90836839644693,33.707339878447875,6.4983637213651235,72.41701729780272,27.395979429640015
12056,Baraqueville,73,Midi-Pyrénées,Aveyron,1307,869,412,67,66,933,319,19.836601307189543,15,9.640522875816995,50.130718954248366,4.9770792403405375,4.191224623444663,6.548788474132286,8.644400785854616,22.789783889980352,34.31565160445317,24.361493123772103,37.234042553191486,10.64773735581189,7.40905057675244,28.305235137533273,18.633540372670808,14.152617568766637,7.542147293700088,4.806991988346685,66.48814078041316,31.522570772762048,5.1262433052792655,71.38485080336649,24.407039020657994
12089,Decazeville,73,Midi-Pyrénées,Aveyron,3010,1385,1566,843,198,1380,1625,13.883740522325189,15.804549283909013,19.29233361415333,52.502106149957875,19.132530120481928,1.1566265060240963,8.674698795180722,6.16867469879518,15.27710843373494,34.65060240963855,36.91566265060241,50.70422535211267,23.315392895586655,7.405812701829925,27.341227125941874,15.65123789020452,6.350914962325081,5.532831001076426,6.172069825436409,46.013289036544855,52.0265780730897,28.006644518272427,45.84717607973422,53.98671096345515
12090,Druelle,73,Midi-Pyrénées,Aveyron,800,681,104,6,36,764,34,19.71272907379891,13.670133729569093,5.596830113917782,48.83605745418524,4.3095004897159646,3.525954946131244,4.701273261508325,10.969637610186092,32.12536728697356,27.42409402546523,16.454456415279136,56.98924731182796,7.094133697135062,5.5934515688949515,26.534788540245568,19.031377899045022,20.327421555252386,10.709413369713507,4.30622009569378,85.125,13,0.75,95.5,4.25
12096,Espalion,73,Midi-Pyrénées,Aveyron,2043,1323,675,55,483,1186,853,13.400139827546026,12.211605686320205,17.781402936378466,53.48403635516197,8.939828080229226,2.693409742120344,11.117478510028652,7.392550143266476,18.33810888252149,35.30085959885387,25.32951289398281,35.294117647058826,19.79493021931074,6.949587012247223,23.668470521219025,14.497294218171461,10.338934776416975,8.259755055539731,19.121140142517813,64.75770925110133,33.03964757709251,2.692119432207538,58.05188448360254,41.75232501223691
12100,Firmi,73,Midi-Pyrénées,Aveyron,1140,848,272,79,59,889,251,15.468940316686966,9.744214372716199,17.417783191230207,52.781161185546075,9.309623430962342,2.092050209205021,10.564853556485355,6.7991631799163175,18.619246861924683,31.799163179916317,30.125523012552303,37.17948717948718,16.793893129770993,7.582697201017812,27.531806615776084,16.48854961832061,12.162849872773537,4.8346055979643765,4.920767306088407,74.3859649122807,23.859649122807017,6.9298245614035086,77.98245614035088,22.017543859649123
12102,Flavin,73,Midi-Pyrénées,Aveyron,918,750,147,24,61,812,105,20.98765432098765,14.285714285714285,6.746031746031746,49.29453262786596,3.755458515283843,11.441048034934498,6.2882096069869,8.73362445414847,24.716157205240176,29.257641921397383,24.017467248908297,48.18181818181818,9.454545454545455,6.969696969696971,26.484848484848484,18.606060606060606,17.636363636363637,8.848484848484848,6.230847803881511,81.69934640522875,16.013071895424837,2.6143790849673203,88.45315904139433,11.437908496732026
12133,Luc-la-Primaube,73,Midi-Pyrénées,Aveyron,2532,1794,712,86,81,1876,655,17.790879139934106,14.981792959944512,10.2479625455176,50.45951101092423,5.990783410138248,1.5597305919886566,5.3527118043247075,8.47217298830202,31.549096065225097,29.3512938674229,21.800779865295993,35.714285714285715,8.861622358554873,6.362190411270166,25.53965007952738,22.540331742785728,18.200408997955012,8.475346512156328,3.0998851894374284,70.85308056872039,28.12006319115324,3.39652448657188,74.0916271721959,25.868878357030017
